case_a_precision,case_b_recall,case_c_any_overlap,case_d_jaccard,intersection_size,pred_size,manual_size,pred_labels,manual_labels,sample_id,model,run
0.0,0.0,1.0,0.25,1,3,2,"D,E,F","D,G",5,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",9,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,D,G","A,C,D",12,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"C,F","C,D",13,anthropic_claude-sonnet-4.5,results_run1
1.0,0.0,1.0,0.5,1,1,2,C,"C,D",16,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"C,G","B,G",17,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,2,2,2,"C,D","C,D",18,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,0.0,0.0,0,1,2,B,"C,D",20,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.16666666666666666,1,4,3,"B,C,D,E","D,F,G",28,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.5,2,3,3,"C,E,G","C,D,E",29,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,G","D,G",31,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.25,1,3,2,"A,C,G","C,D",34,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.75,3,4,3,"C,D,E,G","C,D,E",35,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.25,1,3,2,"C,E,G","C,D",36,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,D",38,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.2,1,4,2,"A,B,E,G","C,E",40,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"C,D,G","C,D",41,anthropic_claude-sonnet-4.5,results_run1
0.0,0.0,1.0,0.3333333333333333,1,2,2,"D,G","C,D",44,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6666666666666666,2,3,2,"A,B,C","B,C",45,anthropic_claude-sonnet-4.5,results_run1
1.0,1.0,1.0,1.0,2,2,2,"D,F","D,F",46,anthropic_claude-sonnet-4.5,results_run1
0.0,1.0,1.0,0.6,3,5,3,"A,B,C,D,G","B,C,D",49,anthropic_claude-sonnet-4.5,results_run1
