Question_Number,Manual_Label,Correct_Predictions,Total_Predictions,Models_Correct_%,Most_Common_Wrong_Prediction,Wrong_Count
1,D,3,24,12.5,C,7
2,NONE,10,24,41.67,E,12
3,D,0,24,0.0,E,12
4,NONE,2,24,8.33,E,7
5,"D,G",1,24,4.17,F,9
6,D,6,24,25.0,B,6
7,D,0,24,0.0,C,10
8,NONE,5,24,20.83,E,10
9,"C,D",13,24,54.17,NONE,2
10,G,2,24,8.33,B,6
11,D,5,24,20.83,E,9
12,"A,C,D",11,24,45.83,"A,B,C,D",3
13,"C,D",13,24,54.17,B,4
14,NONE,12,24,50.0,E,11
15,C,12,24,50.0,"C,E",4
16,"C,D",13,24,54.17,"C,D,E",2
17,"B,G",11,24,45.83,"B,C",2
18,"C,D",10,24,41.67,"C,D",5
19,D,9,24,37.5,B,5
20,"C,D",6,24,25.0,E,7
21,D,1,24,4.17,C,11
22,NONE,1,24,4.17,E,6
23,G,0,24,0.0,A,10
24,NONE,12,24,50.0,E,12
25,C,15,24,62.5,"C,E",3
26,C,6,24,25.0,E,5
27,C,14,24,58.33,"A,C,E",3
28,"D,F,G",5,24,20.83,C,4
29,"C,D,E",11,24,45.83,"C,E,G",3
30,NONE,3,24,12.5,E,7
31,"D,G",8,24,33.33,"D,G",5
32,G,0,24,0.0,A,8
33,G,1,24,4.17,B,5
34,"C,D",2,24,8.33,A,7
35,"C,D,E",8,24,33.33,G,2
36,"C,D",9,24,37.5,B,3
37,NONE,9,24,37.5,E,8
38,"C,D",7,24,29.17,"C,D,G",3
39,NONE,11,24,45.83,E,11
40,"C,E",3,24,12.5,A,4
41,"C,D",6,24,25.0,G,6
42,D,7,24,29.17,C,4
43,D,1,24,4.17,NONE,12
44,"C,D",5,24,20.83,B,3
45,"B,C",12,24,50.0,"A,B,C",6
46,"D,F",11,24,45.83,"D,F",5
47,D,1,24,4.17,C,11
48,C,6,24,25.0,B,5
49,"B,C,D",4,24,16.67,G,6
50,"B,C,D,F",11,24,45.83,"A,B,C,D,F,G",3
51,"C,D,F,G",10,24,41.67,"B,C,F",5
52,D,8,24,33.33,C,5
53,"C,D",4,24,16.67,NONE,10
54,"C,D",14,24,58.33,B,2
55,C,9,24,37.5,"C,D",4
56,"C,D,G",8,24,33.33,B,4
57,"C,D,G",12,24,50.0,"D,F,G",4
58,NONE,12,24,50.0,E,11
59,NONE,12,24,50.0,E,12
60,"C,D,F",10,24,41.67,E,5
61,NONE,2,24,8.33,F,7
62,D,5,24,20.83,NONE,10
63,"C,D",6,24,25.0,B,6
64,NONE,11,24,45.83,E,12
65,"C,G",2,24,8.33,F,10
66,C,1,24,4.17,E,9
67,"C,G",19,24,79.17,"C,G",2
68,D,10,24,41.67,NONE,7
69,"C,G",1,24,4.17,E,9
70,NONE,11,24,45.83,E,11
71,NONE,12,24,50.0,E,12
72,"C,G",12,24,50.0,F,2
73,"C,D",8,24,33.33,E,3
74,G,8,24,33.33,C,3
75,"C,D",3,24,12.5,A,5
76,"C,G",14,24,58.33,E,5
77,"C,D,F,G",6,24,25.0,E,6
78,"D,G",1,24,4.17,B,6
79,"C,D,E",5,24,20.83,A,7
80,"C,G",6,24,25.0,B,3
81,"C,D,G",7,24,29.17,B,5
82,"C,G",18,24,75.0,"A,C",2
83,G,0,24,0.0,B,12
84,"B,C,G",12,24,50.0,"A,B,G",3
85,D,2,24,8.33,G,6
86,"C,F,G",0,24,0.0,B,19
87,NONE,6,24,25.0,E,7
88,NONE,12,24,50.0,E,12
89,NONE,10,24,41.67,E,11
90,"C,D,F",13,24,54.17,"D,F",6
91,"D,F",13,24,54.17,E,4
92,NONE,12,24,50.0,E,12
93,"C,D,F,G",11,24,45.83,B,2
94,"A,B,G",11,24,45.83,C,3
95,"A,B,E,G",9,24,37.5,"A,B,C,E,G",6
96,NONE,11,24,45.83,E,11
97,"A,C,G",15,24,62.5,"A,C,G",2
98,"A,C,G",3,24,12.5,"A,B,C,E,G",8
99,C,3,24,12.5,A,14
100,"B,C,G",12,24,50.0,"B,C,G",4
