Run,Mode,Model,Column_Name,Correct,Total,Accuracy_%
run1,single,anthropic_claude-sonnet-4.5,results_run1_single_anthropic_claude-sonnet-4.5,59,100,59.0
run1,single,deepseek_deepseek-v3.2,results_run1_single_deepseek_deepseek-v3.2,28,100,28.0
run1,single,google_gemini-2.5-flash,results_run1_single_google_gemini-2.5-flash,54,100,54.0
run1,single,openai_gpt-5.2,results_run1_single_openai_gpt-5.2,70,100,70.0
run1,single,openai_gpt-oss-120b,results_run1_single_openai_gpt-oss-120b,63,100,63.0
run1,single,qwen_qwen3-coder,results_run1_single_qwen_qwen3-coder,46,100,46.0
run1,multi,anthropic_claude-sonnet-4.5,results_run1_multi_anthropic_claude-sonnet-4.5,10,100,10.0
run1,multi,deepseek_deepseek-v3.2,results_run1_multi_deepseek_deepseek-v3.2,3,100,3.0
run1,multi,google_gemini-2.5-flash,results_run1_multi_google_gemini-2.5-flash,13,100,13.0
run1,multi,openai_gpt-5.2,results_run1_multi_openai_gpt-5.2,10,100,10.0
run1,multi,openai_gpt-oss-120b,results_run1_multi_openai_gpt-oss-120b,14,100,14.0
run1,multi,qwen_qwen3-coder,results_run1_multi_qwen_qwen3-coder,2,100,2.0
run2,single,anthropic_claude-sonnet-4.5,results_run2_single_anthropic_claude-sonnet-4.5,56,100,56.0
run2,single,deepseek_deepseek-v3.2,results_run2_single_deepseek_deepseek-v3.2,31,100,31.0
run2,single,google_gemini-2.5-flash,results_run2_single_google_gemini-2.5-flash,53,100,53.0
run2,single,openai_gpt-5.2,results_run2_single_openai_gpt-5.2,69,100,69.0
run2,single,openai_gpt-oss-120b,results_run2_single_openai_gpt-oss-120b,68,100,68.0
run2,single,qwen_qwen3-coder,results_run2_single_qwen_qwen3-coder,45,100,45.0
run2,multi,anthropic_claude-sonnet-4.5,results_run2_multi_anthropic_claude-sonnet-4.5,15,100,15.0
run2,multi,deepseek_deepseek-v3.2,results_run2_multi_deepseek_deepseek-v3.2,5,100,5.0
run2,multi,google_gemini-2.5-flash,results_run2_multi_google_gemini-2.5-flash,13,100,13.0
run2,multi,openai_gpt-5.2,results_run2_multi_openai_gpt-5.2,13,100,13.0
run2,multi,openai_gpt-oss-120b,results_run2_multi_openai_gpt-oss-120b,15,100,15.0
run2,multi,qwen_qwen3-coder,results_run2_multi_qwen_qwen3-coder,1,100,1.0
