Mode,Model_1,Model_2,Total_Questions,Exact_Agreement,Agreement_Rate_%,Both_Correct,Both_Wrong,Disagree_One_Correct,Disagree_Both_Wrong
single,Claude,DeepSeek,100,32,32.0,20,12,41,27
single,Claude,Gemini,100,51,51.0,36,15,30,19
single,Claude,GPT-5.2,100,53,53.0,40,13,36,11
single,Claude,GPT-OSS,100,57,57.0,41,16,30,13
single,Claude,Qwen,100,51,51.0,34,17,31,18
single,DeepSeek,Gemini,100,31,31.0,19,12,37,32
single,DeepSeek,GPT-5.2,100,26,26.0,19,7,55,19
single,DeepSeek,GPT-OSS,100,29,29.0,19,10,48,23
single,DeepSeek,Qwen,100,42,42.0,20,22,30,28
single,Gemini,GPT-5.2,100,47,47.0,35,12,41,12
single,Gemini,GPT-OSS,100,52,52.0,37,15,32,16
single,Gemini,Qwen,100,50,50.0,29,21,33,17
single,GPT-5.2,GPT-OSS,100,66,66.0,47,19,29,5
single,GPT-5.2,Qwen,100,42,42.0,28,14,50,8
single,GPT-OSS,Qwen,100,51,51.0,32,19,38,11
multi,Claude,DeepSeek,100,20,20.0,0,20,13,67
multi,Claude,Gemini,100,25,25.0,2,23,18,57
multi,Claude,GPT-5.2,100,34,34.0,3,31,14,52
multi,Claude,GPT-OSS,100,38,38.0,5,33,14,48
multi,Claude,Qwen,100,20,20.0,1,19,10,70
multi,DeepSeek,Gemini,100,26,26.0,2,24,12,62
multi,DeepSeek,GPT-5.2,100,18,18.0,0,18,13,69
multi,DeepSeek,GPT-OSS,100,22,22.0,0,22,17,61
multi,DeepSeek,Qwen,100,29,29.0,0,29,5,66
multi,Gemini,GPT-5.2,100,20,20.0,0,20,21,59
multi,Gemini,GPT-OSS,100,27,27.0,3,24,20,53
multi,Gemini,Qwen,100,30,30.0,1,29,13,57
multi,GPT-5.2,GPT-OSS,100,50,50.0,7,43,10,40
multi,GPT-5.2,Qwen,100,18,18.0,0,18,12,70
multi,GPT-OSS,Qwen,100,21,21.0,1,20,14,65
