sample_id,model,pred_labels,manual_labels,case_d_jaccard
5,anthropic_claude-sonnet-4.5,"D,E,F","D,G",0.25
9,anthropic_claude-sonnet-4.5,C,"C,D",0.5
12,anthropic_claude-sonnet-4.5,"A,B,C,D,G","A,C,D",0.6
13,anthropic_claude-sonnet-4.5,"C,F","C,D",0.3333333333333333
16,anthropic_claude-sonnet-4.5,C,"C,D",0.5
17,anthropic_claude-sonnet-4.5,"C,G","B,G",0.3333333333333333
28,anthropic_claude-sonnet-4.5,"B,C,D,E","D,F,G",0.1666666666666666
29,anthropic_claude-sonnet-4.5,"C,E,G","C,D,E",0.5
34,anthropic_claude-sonnet-4.5,"A,C,G","C,D",0.25
35,anthropic_claude-sonnet-4.5,"C,D,E,G","C,D,E",0.75
36,anthropic_claude-sonnet-4.5,"C,E,G","C,D",0.25
38,anthropic_claude-sonnet-4.5,"C,D,G","C,D",0.6666666666666666
40,anthropic_claude-sonnet-4.5,"A,B,E,G","C,E",0.2
41,anthropic_claude-sonnet-4.5,"C,D,G","C,D",0.6666666666666666
44,anthropic_claude-sonnet-4.5,"D,G","C,D",0.3333333333333333
45,anthropic_claude-sonnet-4.5,"A,B,C","B,C",0.6666666666666666
49,anthropic_claude-sonnet-4.5,"A,B,C,D,G","B,C,D",0.6
50,anthropic_claude-sonnet-4.5,"B,C,D,E,F,G","B,C,D,F",0.6666666666666666
51,anthropic_claude-sonnet-4.5,"A,B,C,G","C,D,F,G",0.3333333333333333
54,anthropic_claude-sonnet-4.5,D,"C,D",0.5
56,anthropic_claude-sonnet-4.5,"A,C,D,E","C,D,G",0.4
60,anthropic_claude-sonnet-4.5,"A,C,D,F,G","C,D,F",0.6
65,anthropic_claude-sonnet-4.5,"C,D,G","C,G",0.6666666666666666
67,anthropic_claude-sonnet-4.5,G,"C,G",0.5
69,anthropic_claude-sonnet-4.5,"A,C,E","C,G",0.25
73,anthropic_claude-sonnet-4.5,"B,C,D,G","C,D",0.5
75,anthropic_claude-sonnet-4.5,"A,C,D,E","C,D",0.5
76,anthropic_claude-sonnet-4.5,C,"C,G",0.5
77,anthropic_claude-sonnet-4.5,"C,D,E,F,G","C,D,F,G",0.8
78,anthropic_claude-sonnet-4.5,"C,D","D,G",0.3333333333333333
79,anthropic_claude-sonnet-4.5,"A,C,D","C,D,E",0.5
80,anthropic_claude-sonnet-4.5,"B,C,D,F,G","C,G",0.4
81,anthropic_claude-sonnet-4.5,"B,C,D,E","C,D,G",0.4
82,anthropic_claude-sonnet-4.5,C,"C,G",0.5
86,anthropic_claude-sonnet-4.5,B,"B,F,G",0.3333333333333333
90,anthropic_claude-sonnet-4.5,"D,F","C,D,F",0.6666666666666666
91,anthropic_claude-sonnet-4.5,"D,F,G","D,F",0.6666666666666666
93,anthropic_claude-sonnet-4.5,"D,F,G","C,D,F,G",0.75
94,anthropic_claude-sonnet-4.5,"B,C","A,B,G",0.25
95,anthropic_claude-sonnet-4.5,"B,C,E,G","A,B,E,G",0.6
98,anthropic_claude-sonnet-4.5,"A,B,C,E,G","A,C,G",0.6
5,openai_gpt-5.2,"A,D,F,G","D,G",0.5
